Название,Цена,Категория,Подкатегория,Описание,Фото (URL),Доступность
Iphone 16 pro 256GB SIM+eSIM,69 990,Смартфоны,Apple,6.3” 120 hz SR XDR OLED Display. A18 pro чип,https://www.yerevanmobile.am/media/magefan_blog/iPhone-16-Pro-Colors-Fanmade3.jpeg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Iphone 16 pro 512GB SIM+eSIM,80 990,Смартфоны,Apple,6.3” 120 hz SR XDR OLED Display. A18 pro чип,https://www.yerevanmobile.am/media/magefan_blog/iPhone-16-Pro-Colors-Fanmade3.jpeg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Iphone 16 pro 1TB SIM+eSIM,93 990,Смартфоны,Apple,6.3” 120 hz SR XDR OLED Display. A18 pro чип,https://www.yerevanmobile.am/media/magefan_blog/iPhone-16-Pro-Colors-Fanmade3.jpeg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Iphone 16 pro max 256GB SIM+eSIM,78 990,Смартфоны,Apple,"6.9” 120 hz SR XDR OLED Display. A18 pro чип, 4k 120 fps",https://kotofoto.ru/product_img/69/679018/679018_smartfon_apple_iphone_16_pro_max_1tb_myty3za_a_black_titanium_12m.jpg?v=1727255998,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Iphone 16 pro max 512GB SIM+eSIM,94 990,Смартфоны,Apple,"6.9” 120 hz SR XDR OLED Display. A18 pro чип, 4k 120 fps",https://kotofoto.ru/product_img/69/679018/679018_smartfon_apple_iphone_16_pro_max_1tb_myty3za_a_black_titanium_12m.jpg?v=1727255998,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Iphone 16 pro max 1TB SIM+eSIM,109 990,Смартфоны,Apple,"6.9” 120 hz SR XDR OLED Display. A18 pro чип, 4k 120 fps",https://kotofoto.ru/product_img/69/679018/679018_smartfon_apple_iphone_16_pro_max_1tb_myty3za_a_black_titanium_12m.jpg?v=1727255998,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPhone 17 256GB SIM+eSIM,69 990,Смартфоны,Apple,"6.3"" 120Hz SR XDR OLED, A19 chip, 8GB RAM, 256GB, 48MP dual camera, 40W fast charging",https://cdn1.technopark.ru/technopark/photos_resized/faq_top_image/1710_1112/1008/1_1008.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPhone 17 256GB eSIM,66 990,Смартфоны,Apple,"6.3"" 120Hz SR XDR OLED, A19 chip, 8GB RAM, 256GB, 48MP dual camera, 40W fast charging",https://cdn1.technopark.ru/technopark/photos_resized/faq_top_image/1710_1112/1008/1_1008.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPhone 17 512GB SIM+eSIM,93 990,Смартфоны,Apple,"6.3"" 120Hz SR XDR OLED, A19 chip, 8GB RAM, 512GB, 48MP dual camera, 40W fast charging",https://cdn1.technopark.ru/technopark/photos_resized/faq_top_image/1710_1112/1008/1_1008.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPhone 17 512GB eSIM,90 990,Смартфоны,Apple,"6.3"" 120Hz SR XDR OLED, A19 chip, 8GB RAM, 512GB, 48MP dual camera, 40W fast charging",https://cdn1.technopark.ru/technopark/photos_resized/faq_top_image/1710_1112/1008/1_1008.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPhone 17 air 256GB eSIM,69 490,Смартфоны,Apple,"6.5"" 120Hz Super Retina XDR дисплей, чип A19 Pro, 12 ГБ ОЗУ, 256 ГБ памяти, основная камера 48 МП, фронтальная 18 МП, двойной eSIM, аккумулятор на 27 часов видео",https://media.sketchfab.com/models/06c34aad662e4f07ba6130f47811cc9a/thumbnails/1c4062c8cb6945c687ee426b1f95b686/b52e60f962f64e1abc185ca41614ffc4.jpeg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPhone 17 air 512GB eSIM,80 490,Смартфоны,Apple,"6.5"" 120Hz Super Retina XDR дисплей, чип A19 Pro, 12 ГБ ОЗУ, 512 ГБ памяти, основная камера 48 МП, фронтальная 18 МП, двойной eSIM, аккумулятор на 27 часов видео",https://media.sketchfab.com/models/06c34aad662e4f07ba6130f47811cc9a/thumbnails/1c4062c8cb6945c687ee426b1f95b686/b52e60f962f64e1abc185ca41614ffc4.jpeg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPhone 17 air 1TB eSIM,95 990,Смартфоны,Apple,"6.5"" 120Hz Super Retina XDR дисплей, чип A19 Pro, 12 ГБ ОЗУ, 1 ТБ памяти, основная камера 48 МП, фронтальная 18 МП, двойной eSIM, аккумулятор на 27 часов видео",https://media.sketchfab.com/models/06c34aad662e4f07ba6130f47811cc9a/thumbnails/1c4062c8cb6945c687ee426b1f95b686/b52e60f962f64e1abc185ca41614ffc4.jpeg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPhone 17 pro 256GB SIM+eSIM,96 990,Смартфоны,Apple,"6.3"" 120Hz Super Retina XDR дисплей, A19 Pro чип, 12 ГБ ОЗУ, 256 ГБ памяти, 48 МП тройная камера с 4x/8x зумом, запись видео 4K 120 fps, аккумулятор до 33 часов видео",https://content.onliner.by/news/970x485/dcbb845ca45af97375acdea544057cff.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPhone 17 pro 256GB eSIM,87 990,Смартфоны,Apple,"6.3"" 120Hz Super Retina XDR дисплей, A19 Pro чип, 12 ГБ ОЗУ, 256 ГБ памяти, 48 МП тройная камера с 4x/8x зумом, запись видео 4K 120 fps, аккумулятор до 33 часов видео",https://content.onliner.by/news/970x485/dcbb845ca45af97375acdea544057cff.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPhone 17 pro 512GB SIM+eSIM,118 990,Смартфоны,Apple,"6.3"" 120Hz Super Retina XDR дисплей, A19 Pro чип, 12 ГБ ОЗУ, 512ГБ памяти, 48 МП тройная камера с 4x/8x зумом, запись видео 4K 120 fps, аккумулятор до 33 часов видео",https://content.onliner.by/news/970x485/dcbb845ca45af97375acdea544057cff.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPhone 17 pro 512GB eSIM,104 990,Смартфоны,Apple,"6.3"" 120Hz Super Retina XDR дисплей, A19 Pro чип, 12 ГБ ОЗУ, 512ГБ памяти, 48 МП тройная камера с 4x/8x зумом, запись видео 4K 120 fps, аккумулятор до 33 часов видео",https://content.onliner.by/news/970x485/dcbb845ca45af97375acdea544057cff.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPhone 17 pro 1TB SIM+eSIM,133 990,Смартфоны,Apple,"6.3"" 120Hz Super Retina XDR дисплей, A19 Pro чип, 12 ГБ ОЗУ, 1ТБ памяти, 48 МП тройная камера с 4x/8x зумом, запись видео 4K 120 fps, аккумулятор до 33 часов видео",https://content.onliner.by/news/970x485/dcbb845ca45af97375acdea544057cff.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPhone 17 pro 1TB eSIM,118 990,Смартфоны,Apple,"6.3"" 120Hz Super Retina XDR дисплей, A19 Pro чип, 12 ГБ ОЗУ, 1ТБ памяти, 48 МП тройная камера с 4x/8x зумом, запись видео 4K 120 fps, аккумулятор до 33 часов видео",https://content.onliner.by/news/970x485/dcbb845ca45af97375acdea544057cff.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPhone 17 pro max 256GB SIM+eSIM,103 990,Смартфоны,Apple,"6.9"" 120Hz Super Retina XDR дисплей, A19 Pro чип, 12 ГБ ОЗУ, 256 ГБ, 48 МП тройная камера (4x/8x зум), 4K 120 fps, до 39 часов видео",https://cafefcdn.com/203337114487263232/2025/8/13/gxqfm6naiaqzhuh-1755091466882-17550914678301096214307.jpeg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPhone 17 pro max 256GB eSIM,93 990,Смартфоны,Apple,"6.9"" 120Hz Super Retina XDR дисплей, A19 Pro чип, 12 ГБ ОЗУ, 256 ГБ, 48 МП тройная камера (4x/8x зум), 4K 120 fps, до 39 часов видео",https://cafefcdn.com/203337114487263232/2025/8/13/gxqfm6naiaqzhuh-1755091466882-17550914678301096214307.jpeg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPhone 17 pro max 512GB SIM+eSIM,132 990,Смартфоны,Apple,"6.9"" 120Hz Super Retina XDR дисплей, A19 Pro чип, 12 ГБ ОЗУ, 512 ГБ, 48 МП тройная камера (4x/8x зум), 4K 120 fps, до 39 часов видео",https://cafefcdn.com/203337114487263232/2025/8/13/gxqfm6naiaqzhuh-1755091466882-17550914678301096214307.jpeg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPhone 17 pro max 512GB eSIM,112 990,Смартфоны,Apple,"6.9"" 120Hz Super Retina XDR дисплей, A19 Pro чип, 12 ГБ ОЗУ, 512 ГБ, 48 МП тройная камера (4x/8x зум), 4K 120 fps, до 39 часов видео",https://cafefcdn.com/203337114487263232/2025/8/13/gxqfm6naiaqzhuh-1755091466882-17550914678301096214307.jpeg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPhone 17 pro max 1TB SIM+eSIM,162 990,Смартфоны,Apple,"6.9"" 120Hz Super Retina XDR дисплей, A19 Pro чип, 12 ГБ ОЗУ, 1 ТБ, 48 МП тройная камера (4x/8x зум), 4K 120 fps, до 39 часов видео",https://cafefcdn.com/203337114487263232/2025/8/13/gxqfm6naiaqzhuh-1755091466882-17550914678301096214307.jpeg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
iPhone 17 pro max 1TB eSIM,133 990,Смартфоны,Apple,"6.9"" 120Hz Super Retina XDR дисплей, A19 Pro чип, 12 ГБ ОЗУ, 1 ТБ, 48 МП тройная камера (4x/8x зум), 4K 120 fps, до 39 часов видео",https://cafefcdn.com/203337114487263232/2025/8/13/gxqfm6naiaqzhuh-1755091466882-17550914678301096214307.jpeg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
AirPods 4,8 990,Аксессуары,Apple,"пыле-влагозащита IP54, без активного шумоподавления, BT5.3",https://ir.ozone.ru/s3/multimedia-l/c1000/6860616825.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
AirPods 4 ANC,11 990,Аксессуары,Apple,"пыле-влагозащита IP54, с активным шумоподавлением, BT5.3",https://mtscdn.ru/upload/images/obzor-besprovodnykh-naushnikov-apple-airpods-4-anc-i-apple-airpods-4-1.png/resize/1960x1960/,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
AirPods Pro 2 USB-C,13 490,Аксессуары,Apple,"пыле-влагозащита IP54, с активным шумоподавлением v2.0, сенсорное упавление громкостью звука, поддержка Lossless",https://3dradar.ru/upload/information_system_40/8/1/7/item_81790/information_items_81790.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
AirPods Max (2024),38 490,Аксессуары,Apple,"порт USB-C, чистый звук, увеличенное время работы до 40 часов, , облегчённая алюминиевая конструкция, магнитные сменные амбушюры, поддержка Lossless-аудио",https://avatars.mds.yandex.net/get-mpic/1865219/2a000001958410a8a8ff9863010885bea8ce/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Nintendo Switch Oled (White and Neon),19 490,Приставки,Nintendo,"7 дюймов, 8-ядерный NVIDIA Tegra X1, 1,02 ГГц, время работы около 4,5–9 часов",https://i.ytimg.com/vi/BDISSkjlwHs/maxresdefault.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Nintendo Switch Lite,11 990,Приставки,Nintendo,"5,5 дюйма, NVIDIA Tegra X1+, время работы около 3–6 часов",https://avatars.dzeninfra.ru/get-zen_doc/271828/pub_678f9652907de12e69dd526d_678f96ceee6f385f32b6f715/scale_1200,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Oculus Quest 3S 8/256,31 990,Приставки,Oculus,"процессор Qualcomm Snapdragon XR2 Gen 2, частота 90 и 120 Гц, Wi-Fi 6E, Bluetooth, время работы около 2.5 часов, 2 LCD-экрана с разрешением 1832×1920",https://avatars.mds.yandex.net/get-mpic/12525950/2a00000193b1245e8d3db4f3d6cd9090ef09/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Oculus Quest 3 8/512,37 990,Приставки,Oculus,"процессор Qualcomm Snapdragon XR2 Gen 2, частота 90 и 120 Гц, Wi-Fi 6E, Bluetooth, время работы около 2.2 часов, 2 LCD-экрана с разрешением 2064×2208, возможэно подключение к PC",https://cdn1.ozone.ru/s3/multimedia-1-x/7156973733.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Play Station 5 PRO 1TB без дисковода,59 990,Приставки,Sony,"мощнейший апгрейд с 4K@120FPS, 8K, улучшенной трассировкой лучей, ускоренным SSD и обратной совместимостью для максимального погружения в игры!"" 🚀🎮",https://avatars.mds.yandex.net/i?id=16e0e22cd1227fa896664eb206fb64e0_l-5236166-images-thumbs&n=13,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Play Station 5 slim 1TB без дисковода,39 990,Приставки,Sony,"1 ТБ SSD, 8-ядерный AMD Zen 2, AMD RDNA 2 (10.28 ТФлопс), 16 ГБ GDDR6, 4K/120 Гц, трассировка лучей, совместимость с PS4",https://ir-3.ozone.ru/s3/multimedia-1-p/c1000/7525082077.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
PS5 Disc Drive дисковод Pro/Digital,10 990,Приставки,Sony,"это мощная игровая консоль с 4K Blu-ray приводом, поддержкой 120 Гц и ray tracing, быстрым SSD, обратной совместимостью с PS4 и эксклюзивами Sony, а PS5 Digital – та же производительность, но без дисковода и дешевле, идеально для цифровых покупок",https://vkplay.ru/hotbox/content_files/UgcStories/2024/09/06/3a23073a6b8c47eca9af4a94b66e89e3.png,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Play Station VR 2,32 990,Приставки,Sony,"новейшая VR-гарнитура для PS5 с 4K HDR-экранами, технологией eye-tracking, адаптивными триггерами, тактивной отдачей, 3D-звуком и плавным геймплеем 120 Гц для полного погружения в виртуальные миры",https://avatars.mds.yandex.net/get-mpic/1886039/2a000001939bc28dffd885e6981c4dd685fb/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Джойстик PS 5,5 490,Приставки,Sony,"Контроллер DualSense, адаптивные триггеры, тактильная отдача, встроенный микрофон, динамик, 3.5мм jack, USB-C, до 12 часов работы",https://avatars.mds.yandex.net/get-mpic/3912211/2a0000018fc532d1450e811e3f65c2e2fb15/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Sony pulse 3D,5 990,Приставки,Sony,"беспроводные игровые наушники для PS5 с объёмным 3D-звуком, шумоподавлением, удобной посадкой, до 12 часов работы и встроенным микрофоном для полного погружения в игру.",https://avatars.mds.yandex.net/get-mpic/11476411/2a0000018d67eac9d97f6a51689761b6a0ef/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
DualSense,5 490,Приставки,Sony,"инновационный геймпад с адаптивными триггерами, тактивной отзывчивостью, встроенным микрофоном, гироскопом и вибрирующей отдачей для максимального погружения в игру",https://avatars.mds.yandex.net/get-marketpic/6387603/picb6f8cc3af874ddef3cb3dab056ce251f/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Зарядная станция PS5,1 990,Приставки,Sony,беспроводное зарядное устройство для двух DualSense с LED-подсветкой,https://avatars.mds.yandex.net/get-mpic/12552957/2a00000192dd55b21ac9dc9aa99142851f3f/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Steam Deck 16/512 black OLED,47 990,Приставки,Steam,"мощная портативная консоль с 7.4"" OLED-экраном 90 Гц, улучшенной автономностью, эргономичным дизайном и быстрым SSD для комфортного гейминга в любой локации.",https://avatars.mds.yandex.net/get-mpic/11620615/2a0000018fd845c14f2bd5423877f2f92985/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Steam Deck 16/1024 black OLED,53 990,Приставки,Steam,"мощная портативная консоль с 7.4"" OLED-экраном 90 Гц, улучшенной автономностью, эргономичным дизайном и быстрым SSD для комфортного гейминга в любой локации.",https://avatars.mds.yandex.net/get-mpic/12631449/2a0000018f8621105ec5699d3b95e96c67d0/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Steam Deck 6 in 1 ,1 690,Приставки,Steam," универсальная док-станция с поддержкой 4K@60Hz, портами USB 3.1, HDMI 2.0 и Ethernet, быстрой зарядкой и стабильным подключением, превращающая портативную консоль в полноценный ПК-гибрид",https://avatars.mds.yandex.net/get-mpic/6253235/img_id6515398291797618696.png/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Steam Deck Mod Case,1 990,Приставки,Steam,чехол для Steam Deck с удобным хранением,https://cdn.shazoo.ru/579062_6pOrnNZsKF_deck.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
Pico 4 Ultra 12+256,39 990,Приставки,Pico,"флагманская автономная VR-гарнитура с 4K+ дисплеями 90 Гц, встроенным процессором Snapdragon XR2, 12 ГБ ОЗУ, 256 ГБ памяти, 6DoF-трекингом, стереозвуком и улучшенными контроллерами для погружения в метавселенные и игры без ПК.",https://avatars.mds.yandex.net/get-mpic/1581127/2a000001944db18ea9740a5e13e6a919edf6/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
S24 FE 8/128 (S721B),28 990,Смартфоны,Samsung," стильный и мощный смартфон с динамическим AMOLED 120 Гц, процессором Exynos 2200, тройной камерой 50 МП, защитой IP68 и аккумулятором на 4500 мАч для безупречной работы и ярких впечатлений",https://ir-3.ozone.ru/s3/multimedia-1-o/w1200/6918632520.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
S24 FE 8/256 (S721B),31 990,Смартфоны,Samsung," стильный и мощный смартфон с динамическим AMOLED 120 Гц, процессором Exynos 2200, тройной камерой 50 МП, защитой IP68 и аккумулятором на 4500 мАч для безупречной работы и ярких впечатлений",https://ir-3.ozone.ru/s3/multimedia-1-o/w1200/6918632520.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
S24 8/128 (S921B),35 990,Смартфоны,Samsung,"флагманский смартфон с Dynamic AMOLED 2X 120 Гц, процессором Snapdragon 8 Gen 3, камерой 50 МП с ИИ, защитой IP68 и аккумулятором 4000 мАч с быстрой зарядкой 25W для премиального опыта",https://i.ebayimg.com/images/g/ml4AAOSw7PRmUPUS/s-l960.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
S24 8/256 onyx (S921B),40 990,Смартфоны,Samsung,"флагманский смартфон с Dynamic AMOLED 2X 120 Гц, процессором Snapdragon 8 Gen 3, камерой 50 МП с ИИ, защитой IP68 и аккумулятором 4000 мАч с быстрой зарядкой 25W для премиального опыта",https://cdn1.ozone.ru/s3/multimedia-1-2/6910737842.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
S24 plus 12/256  (S926B),51 990,Смартфоны,Samsung,"премиальный смартфон с 6.7"" Dynamic AMOLED 2X 120 Гц, процессором Snapdragon 8 Gen 3, тройной камерой 50 МП с ИИ-улучшением, защитой IP68, аккумулятором 4900 мАч с 45W зарядкой и облегчённым дизайном для безупречной производительности и стиля",https://avatars.mds.yandex.net/i?id=a796a832095c2d10470ec69f0823a616_l-5513755-images-thumbs&n=13,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
S24 plus 12/512  (S926B),56 990,Смартфоны,Samsung,"премиальный смартфон с 6.7"" Dynamic AMOLED 2X 120 Гц, процессором Snapdragon 8 Gen 3, тройной камерой 50 МП с ИИ-улучшением, защитой IP68, аккумулятором 4900 мАч с 45W зарядкой и облегчённым дизайном для безупречной производительности и стиля",https://avatars.mds.yandex.net/i?id=a796a832095c2d10470ec69f0823a616_l-5513755-images-thumbs&n=13,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
S24 ultra 12/256 (S928B),61 990,Смартфоны,Samsung,"топовый флагман с 6.8"" Dynamic AMOLED 2X 120 Гц, процессором Snapdragon 8 Gen 3, 200 МП основной камерой с ИИ, S Pen, титановым корпусом IP68, аккумулятором 5000 мАч с 45W зарядкой и встроенным софтом для продуктивности – безкомпромиссный смартфон для лидеров",https://i.ebayimg.com/images/g/s4wAAOSwthllqOXw/s-l1600.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
S24 ultra 12/512 (S928B),68 990,Смартфоны,Samsung,"топовый флагман с 6.8"" Dynamic AMOLED 2X 120 Гц, процессором Snapdragon 8 Gen 3, 200 МП основной камерой с ИИ, S Pen, титановым корпусом IP68, аккумулятором 5000 мАч с 45W зарядкой и встроенным софтом для продуктивности – безкомпромиссный смартфон для лидеров",https://i.ebayimg.com/images/g/s4wAAOSwthllqOXw/s-l1600.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
S25 12/256  (S931B),50 990,Смартфоны,Samsung,"инновационный флагман с 6.3"" Dynamic AMOLED 2X 144 Гц, новейшим процессором Snapdragon 8 Gen 4, улучшенной ИИ-камерой 60 МП, революционной системой охлаждения, аккумулятором 5000 мАч с беспроводной зарядкой 25W и ударопрочным дизайном IP69 – воплощение мощности и элегантности.",https://syomastore.ru/wa-data/public/shop/img/smartfon-samsung-galaxy-s24-plus-2.png,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
S25 12/512  (S931B),62 990,Смартфоны,Samsung,"инновационный флагман с 6.3"" Dynamic AMOLED 2X 144 Гц, новейшим процессором Snapdragon 8 Gen 4, улучшенной ИИ-камерой 60 МП, революционной системой охлаждения, аккумулятором 5000 мАч с беспроводной зарядкой 25W и ударопрочным дизайном IP69 – воплощение мощности и элегантности.",https://syomastore.ru/wa-data/public/shop/img/smartfon-samsung-galaxy-s24-plus-2.png,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
S25 Edge 12/256  (S9370),62 990,Смартфоны,Samsung,"ультрасовременный флагман с изогнутым 6.7"" Dynamic AMOLED 2X 144 Гц, чипом Snapdragon 8 Gen 4, ИИ-камерой 200 МП с лазерным автофокусом, встроенным S-Pen, титановой рамкой IP68, аккумулятором 5200 мАч с 65W зарядкой и 3D-распознаванием лица – премиум-устройство для тех, кто опережает время.",https://msk.hi-stores.ru/upload/blog/galaxy-s25-edge-1.jpg,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
S25 plus 12/256  (S936B),57 990,Смартфоны,Samsung," мощный флагман с 6.7"" Dynamic AMOLED 2X 144 Гц, процессором Snapdragon 8 Gen 4, тройной ИИ-камерой 50 МП, улучшенной системой охлаждения, аккумулятором 5100 мАч с 65W зарядкой и ударопрочным стеклом Gorilla Glass Victus 3 – идеальный баланс инноваций и эргономики.",https://static.beeline.ru/upload/images/b2c/rich/samsung/s25/s25_plus/blue/3.png,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
S25 plus 12/512  (S936B),63 990,Смартфоны,Samsung," мощный флагман с 6.7"" Dynamic AMOLED 2X 144 Гц, процессором Snapdragon 8 Gen 4, тройной ИИ-камерой 50 МП, улучшенной системой охлаждения, аккумулятором 5100 мАч с 65W зарядкой и ударопрочным стеклом Gorilla Glass Victus 3 – идеальный баланс инноваций и эргономики.",https://static.beeline.ru/upload/images/b2c/rich/samsung/s25/s25_plus/blue/3.png,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
S25 ultra 12/256   (S938B),61 990,Смартфоны,Samsung," инновационный флагман с 6.9"" Dynamic AMOLED 2X 144 Гц, процессором Snapdragon 8 Gen 4, 200 МП тетра-камерой с ИИ-улучшением, встроенным S-Pen, титановым корпусом IP68, аккумулятором 5500 мАч с 100W зарядкой и спутниковой связью — абсолютный лидер среди смартфонов 2025 года.",https://avatars.mds.yandex.net/get-mpic/13225615/2a00000194ae464d9b40dfedc26a0eda60ac/orig,под заказ 2-15 дней по г. СПб. (В регионы + дни доставки по СДЭК)
